NCE v2 Run 5 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star']
Train: 82924 Omega, 40141 Anti | Val: 30767
OMEGA_ACCUM=4 | REG_LAMBDA=0.01 | LR=0.0005 | EMA=0.999
Checkpoint metric: Omega_recall at Anti_recall≥0.9
DensityRatioNet: 274,433 params
Starting NCE v2 training...

Epoch 038 | NCE: 4.9321 | f_anti: 1.045±6.65 | f_omega: -0.702 | Δf: 1.746 | Ω-rec@Anti0.9: 0.2846 (Anti=0.900) | Sweep: 0.3042 | LR: 0.000063 | No-improve: 15/30
Epoch 039 | NCE: 4.0902 | f_anti: 1.040±6.81 | f_omega: -0.743 | Δf: 1.783 | Ω-rec@Anti0.9: 0.2829 (Anti=0.900) | Sweep: 0.3044 | LR: 0.000063 | No-improve: 0/30
Epoch 040 | NCE: 5.0022 | f_anti: 1.041±6.91 | f_omega: -0.726 | Δf: 1.767 | Ω-rec@Anti0.9: 0.2814 (Anti=0.900) | Sweep: 0.3039 | LR: 0.000063 | No-improve: 1/30
Epoch 041 | NCE: 5.1805 | f_anti: 1.115±6.96 | f_omega: -0.670 | Δf: 1.785 | Ω-rec@Anti0.9: 0.2834 (Anti=0.900) | Sweep: 0.3048 | LR: 0.000063 | No-improve: 2/30
Epoch 042 | NCE: 4.4109 | f_anti: 1.014±6.99 | f_omega: -0.770 | Δf: 1.784 | Ω-rec@Anti0.9: 0.2820 (Anti=0.900) | Sweep: 0.3057 | LR: 0.000063 | No-improve: 3/30
Epoch 043 | NCE: 4.9157 | f_anti: 0.990±6.90 | f_omega: -0.781 | Δf: 1.771 | Ω-rec@Anti0.9: 0.2813 (Anti=0.900) | Sweep: 0.3054 | LR: 0.000063 | No-improve: 4/30
Epoch 044 | NCE: 5.4621 | f_anti: 1.081±6.99 | f_omega: -0.745 | Δf: 1.826 | Ω-rec@Anti0.9: 0.2820 (Anti=0.900) | Sweep: 0.3054 | LR: 0.000031 | No-improve: 5/30
Epoch 045 | NCE: 4.4976 | f_anti: 1.018±6.97 | f_omega: -0.773 | Δf: 1.791 | Ω-rec@Anti0.9: 0.2817 (Anti=0.900) | Sweep: 0.3064 | LR: 0.000031 | No-improve: 6/30
Epoch 046 | NCE: 5.2472 | f_anti: 1.103±7.05 | f_omega: -0.757 | Δf: 1.860 | Ω-rec@Anti0.9: 0.2809 (Anti=0.900) | Sweep: 0.3072 | LR: 0.000031 | No-improve: 7/30
Epoch 047 | NCE: 4.4830 | f_anti: 1.117±7.20 | f_omega: -0.749 | Δf: 1.866 | Ω-rec@Anti0.9: 0.2836 (Anti=0.900) | Sweep: 0.3070 | LR: 0.000031 | No-improve: 8/30
Epoch 048 | NCE: 4.8089 | f_anti: 1.106±7.30 | f_omega: -0.782 | Δf: 1.888 | Ω-rec@Anti0.9: 0.2830 (Anti=0.900) | Sweep: 0.3063 | LR: 0.000031 | No-improve: 9/30
Epoch 049 | NCE: 5.5184 | f_anti: 1.121±7.40 | f_omega: -0.805 | Δf: 1.927 | Ω-rec@Anti0.9: 0.2825 (Anti=0.900) | Sweep: 0.3053 | LR: 0.000031 | No-improve: 10/30
Epoch 050 | NCE: 4.8892 | f_anti: 1.111±7.42 | f_omega: -0.815 | Δf: 1.926 | Ω-rec@Anti0.9: 0.2817 (Anti=0.900) | Sweep: 0.3066 | LR: 0.000016 | No-improve: 11/30
Epoch 051 | NCE: 5.7878 | f_anti: 1.165±7.48 | f_omega: -0.807 | Δf: 1.972 | Ω-rec@Anti0.9: 0.2805 (Anti=0.900) | Sweep: 0.3064 | LR: 0.000016 | No-improve: 12/30
Epoch 052 | NCE: 4.3953 | f_anti: 1.145±7.59 | f_omega: -0.836 | Δf: 1.981 | Ω-rec@Anti0.9: 0.2833 (Anti=0.900) | Sweep: 0.3050 | LR: 0.000016 | No-improve: 13/30
Epoch 053 | NCE: 5.1910 | f_anti: 1.181±7.65 | f_omega: -0.838 | Δf: 2.020 | Ω-rec@Anti0.9: 0.2819 (Anti=0.900) | Sweep: 0.3041 | LR: 0.000016 | No-improve: 14/30
Epoch 054 | NCE: 5.5155 | f_anti: 1.159±7.57 | f_omega: -0.823 | Δf: 1.982 | Ω-rec@Anti0.9: 0.2815 (Anti=0.900) | Sweep: 0.3045 | LR: 0.000016 | No-improve: 15/30
Epoch 055 | NCE: 4.6324 | f_anti: 1.119±7.51 | f_omega: -0.836 | Δf: 1.956 | Ω-rec@Anti0.9: 0.2832 (Anti=0.900) | Sweep: 0.3041 | LR: 0.000016 | No-improve: 16/30
Epoch 056 | NCE: 5.3636 | f_anti: 1.111±7.51 | f_omega: -0.859 | Δf: 1.969 | Ω-rec@Anti0.9: 0.2848 (Anti=0.900) | Sweep: 0.3048 | LR: 0.000016 | No-improve: 17/30
Epoch 057 | NCE: 5.2663 | f_anti: 1.080±7.55 | f_omega: -0.886 | Δf: 1.966 | Ω-rec@Anti0.9: 0.2851 (Anti=0.900) | Sweep: 0.3038 | LR: 0.000016 | No-improve: 0/30
Epoch 058 | NCE: 5.7996 | f_anti: 1.185±7.68 | f_omega: -0.840 | Δf: 2.025 | Ω-rec@Anti0.9: 0.2844 (Anti=0.900) | Sweep: 0.3036 | LR: 0.000016 | No-improve: 0/30
Epoch 059 | NCE: 4.4593 | f_anti: 1.141±7.66 | f_omega: -0.857 | Δf: 1.997 | Ω-rec@Anti0.9: 0.2845 (Anti=0.900) | Sweep: 0.3033 | LR: 0.000016 | No-improve: 1/30
Epoch 060 | NCE: 5.2762 | f_anti: 1.112±7.62 | f_omega: -0.890 | Δf: 2.002 | Ω-rec@Anti0.9: 0.2834 (Anti=0.900) | Sweep: 0.3035 | LR: 0.000016 | No-improve: 2/30
Epoch 061 | NCE: 4.8741 | f_anti: 1.076±7.55 | f_omega: -0.894 | Δf: 1.971 | Ω-rec@Anti0.9: 0.2838 (Anti=0.900) | Sweep: 0.3048 | LR: 0.000016 | No-improve: 3/30
Epoch 062 | NCE: 4.9391 | f_anti: 1.128±7.70 | f_omega: -0.911 | Δf: 2.039 | Ω-rec@Anti0.9: 0.2838 (Anti=0.900) | Sweep: 0.3047 | LR: 0.000016 | No-improve: 4/30
Epoch 063 | NCE: 4.8095 | f_anti: 1.067±7.66 | f_omega: -0.918 | Δf: 1.984 | Ω-rec@Anti0.9: 0.2833 (Anti=0.900) | Sweep: 0.3042 | LR: 0.000008 | No-improve: 5/30
Epoch 064 | NCE: 4.4054 | f_anti: 1.063±7.78 | f_omega: -0.952 | Δf: 2.015 | Ω-rec@Anti0.9: 0.2850 (Anti=0.900) | Sweep: 0.3038 | LR: 0.000008 | No-improve: 6/30
Epoch 065 | NCE: 5.2393 | f_anti: 1.110±7.77 | f_omega: -0.924 | Δf: 2.034 | Ω-rec@Anti0.9: 0.2844 (Anti=0.900) | Sweep: 0.3044 | LR: 0.000008 | No-improve: 7/30
Epoch 066 | NCE: 5.7584 | f_anti: 1.139±7.77 | f_omega: -0.907 | Δf: 2.046 | Ω-rec@Anti0.9: 0.2845 (Anti=0.900) | Sweep: 0.3038 | LR: 0.000008 | No-improve: 8/30
Epoch 067 | NCE: 5.9070 | f_anti: 1.174±7.92 | f_omega: -0.905 | Δf: 2.079 | Ω-rec@Anti0.9: 0.2850 (Anti=0.900) | Sweep: 0.3035 | LR: 0.000008 | No-improve: 9/30
Epoch 068 | NCE: 5.9167 | f_anti: 1.120±7.73 | f_omega: -0.908 | Δf: 2.028 | Ω-rec@Anti0.9: 0.2851 (Anti=0.900) | Sweep: 0.3039 | LR: 0.000008 | No-improve: 10/30
Epoch 069 | NCE: 5.5991 | f_anti: 1.131±7.72 | f_omega: -0.900 | Δf: 2.031 | Ω-rec@Anti0.9: 0.2850 (Anti=0.900) | Sweep: 0.3036 | LR: 0.000008 | No-improve: 0/30
Epoch 070 | NCE: 4.9508 | f_anti: 1.089±7.59 | f_omega: -0.907 | Δf: 1.996 | Ω-rec@Anti0.9: 0.2855 (Anti=0.900) | Sweep: 0.3036 | LR: 0.000008 | No-improve: 1/30
Epoch 071 | NCE: 5.0988 | f_anti: 1.193±7.79 | f_omega: -0.866 | Δf: 2.059 | Ω-rec@Anti0.9: 0.2852 (Anti=0.900) | Sweep: 0.3042 | LR: 0.000008 | No-improve: 0/30
Epoch 072 | NCE: 4.4733 | f_anti: 1.234±7.90 | f_omega: -0.866 | Δf: 2.099 | Ω-rec@Anti0.9: 0.2850 (Anti=0.900) | Sweep: 0.3045 | LR: 0.000008 | No-improve: 1/30
Epoch 073 | NCE: 5.7786 | f_anti: 1.221±7.90 | f_omega: -0.868 | Δf: 2.089 | Ω-rec@Anti0.9: 0.2854 (Anti=0.900) | Sweep: 0.3047 | LR: 0.000008 | No-improve: 2/30
Epoch 074 | NCE: 4.9392 | f_anti: 1.096±7.67 | f_omega: -0.897 | Δf: 1.993 | Ω-rec@Anti0.9: 0.2848 (Anti=0.900) | Sweep: 0.3041 | LR: 0.000008 | No-improve: 3/30
Epoch 075 | NCE: 4.8209 | f_anti: 1.149±7.80 | f_omega: -0.911 | Δf: 2.060 | Ω-rec@Anti0.9: 0.2856 (Anti=0.900) | Sweep: 0.3045 | LR: 0.000008 | No-improve: 4/30
Epoch 076 | NCE: 4.7326 | f_anti: 1.146±7.81 | f_omega: -0.933 | Δf: 2.079 | Ω-rec@Anti0.9: 0.2842 (Anti=0.900) | Sweep: 0.3050 | LR: 0.000008 | No-improve: 0/30
Epoch 077 | NCE: 5.6311 | f_anti: 1.105±7.77 | f_omega: -0.933 | Δf: 2.038 | Ω-rec@Anti0.9: 0.2839 (Anti=0.900) | Sweep: 0.3055 | LR: 0.000008 | No-improve: 1/30
Epoch 078 | NCE: 5.8533 | f_anti: 1.195±7.97 | f_omega: -0.915 | Δf: 2.111 | Ω-rec@Anti0.9: 0.2855 (Anti=0.900) | Sweep: 0.3051 | LR: 0.000008 | No-improve: 2/30
Epoch 079 | NCE: 5.8838 | f_anti: 1.164±7.89 | f_omega: -0.928 | Δf: 2.091 | Ω-rec@Anti0.9: 0.2847 (Anti=0.900) | Sweep: 0.3048 | LR: 0.000008 | No-improve: 3/30
Epoch 080 | NCE: 5.1803 | f_anti: 1.171±7.82 | f_omega: -0.907 | Δf: 2.078 | Ω-rec@Anti0.9: 0.2841 (Anti=0.900) | Sweep: 0.3045 | LR: 0.000008 | No-improve: 4/30
Epoch 081 | NCE: 4.5901 | f_anti: 1.132±7.78 | f_omega: -0.919 | Δf: 2.051 | Ω-rec@Anti0.9: 0.2847 (Anti=0.900) | Sweep: 0.3047 | LR: 0.000004 | No-improve: 5/30
Epoch 082 | NCE: 5.3057 | f_anti: 1.196±7.90 | f_omega: -0.902 | Δf: 2.099 | Ω-rec@Anti0.9: 0.2856 (Anti=0.900) | Sweep: 0.3048 | LR: 0.000004 | No-improve: 6/30
Epoch 083 | NCE: 5.1437 | f_anti: 1.165±7.81 | f_omega: -0.907 | Δf: 2.071 | Ω-rec@Anti0.9: 0.2854 (Anti=0.900) | Sweep: 0.3044 | LR: 0.000004 | No-improve: 0/30
Epoch 084 | NCE: 5.0974 | f_anti: 1.163±7.86 | f_omega: -0.899 | Δf: 2.062 | Ω-rec@Anti0.9: 0.2849 (Anti=0.900) | Sweep: 0.3045 | LR: 0.000004 | No-improve: 1/30
Epoch 085 | NCE: 5.3854 | f_anti: 1.147±7.83 | f_omega: -0.910 | Δf: 2.057 | Ω-rec@Anti0.9: 0.2857 (Anti=0.900) | Sweep: 0.3041 | LR: 0.000004 | No-improve: 2/30
Epoch 086 | NCE: 5.0502 | f_anti: 1.160±7.83 | f_omega: -0.911 | Δf: 2.071 | Ω-rec@Anti0.9: 0.2858 (Anti=0.900) | Sweep: 0.3041 | LR: 0.000004 | No-improve: 0/30
Epoch 087 | NCE: 6.1523 | f_anti: 1.185±7.84 | f_omega: -0.911 | Δf: 2.096 | Ω-rec@Anti0.9: 0.2862 (Anti=0.900) | Sweep: 0.3041 | LR: 0.000004 | No-improve: 0/30
Epoch 088 | NCE: 5.4518 | f_anti: 1.164±7.81 | f_omega: -0.907 | Δf: 2.072 | Ω-rec@Anti0.9: 0.2852 (Anti=0.900) | Sweep: 0.3047 | LR: 0.000004 | No-improve: 0/30
Epoch 089 | NCE: 4.9651 | f_anti: 1.154±7.81 | f_omega: -0.917 | Δf: 2.072 | Ω-rec@Anti0.9: 0.2852 (Anti=0.900) | Sweep: 0.3053 | LR: 0.000004 | No-improve: 1/30
Epoch 090 | NCE: 5.2417 | f_anti: 1.165±7.88 | f_omega: -0.923 | Δf: 2.088 | Ω-rec@Anti0.9: 0.2865 (Anti=0.900) | Sweep: 0.3047 | LR: 0.000004 | No-improve: 2/30
Epoch 091 | NCE: 5.5497 | f_anti: 1.206±7.95 | f_omega: -0.914 | Δf: 2.120 | Ω-rec@Anti0.9: 0.2864 (Anti=0.900) | Sweep: 0.3051 | LR: 0.000004 | No-improve: 0/30
Epoch 092 | NCE: 4.9652 | f_anti: 1.155±7.83 | f_omega: -0.918 | Δf: 2.073 | Ω-rec@Anti0.9: 0.2859 (Anti=0.900) | Sweep: 0.3057 | LR: 0.000004 | No-improve: 1/30
Epoch 093 | NCE: 4.9277 | f_anti: 1.155±7.85 | f_omega: -0.938 | Δf: 2.093 | Ω-rec@Anti0.9: 0.2869 (Anti=0.900) | Sweep: 0.3051 | LR: 0.000004 | No-improve: 2/30
Epoch 094 | NCE: 5.8739 | f_anti: 1.176±7.96 | f_omega: -0.946 | Δf: 2.122 | Ω-rec@Anti0.9: 0.2865 (Anti=0.900) | Sweep: 0.3054 | LR: 0.000004 | No-improve: 0/30
Epoch 095 | NCE: 5.4504 | f_anti: 1.141±7.79 | f_omega: -0.947 | Δf: 2.088 | Ω-rec@Anti0.9: 0.2866 (Anti=0.900) | Sweep: 0.3053 | LR: 0.000004 | No-improve: 1/30
Epoch 096 | NCE: 5.6711 | f_anti: 1.194±7.96 | f_omega: -0.938 | Δf: 2.132 | Ω-rec@Anti0.9: 0.2865 (Anti=0.900) | Sweep: 0.3054 | LR: 0.000004 | No-improve: 2/30
Epoch 097 | NCE: 5.4210 | f_anti: 1.124±7.84 | f_omega: -0.940 | Δf: 2.064 | Ω-rec@Anti0.9: 0.2868 (Anti=0.900) | Sweep: 0.3054 | LR: 0.000004 | No-improve: 3/30
