NCE (DensityRatio) Run 4 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star']
Train: 82924 Omega, 40141 Anti | Val: 30767
Loss: NCE = -E_Anti[f] + log E_Omega[exp f] | LR=0.0005 | EMA=0.999
DensityRatioNet: 274,433 params
Starting NCE training...

Epoch 051 | NCE: 22.9000 | f_anti: 2.883 | f_omega: -2.913 | Δf: 5.796 | Score(argmax): 0.2907 | Score(sweep): 0.3036 | LR: 0.000016 | No-improve: 16/30
Epoch 052 | NCE: 23.2940 | f_anti: 3.068 | f_omega: -2.904 | Δf: 5.972 | Score(argmax): 0.2900 | Score(sweep): 0.3024 | LR: 0.000008 | No-improve: 17/30
Epoch 053 | NCE: 25.5343 | f_anti: 3.270 | f_omega: -2.895 | Δf: 6.165 | Score(argmax): 0.2912 | Score(sweep): 0.3021 | LR: 0.000008 | No-improve: 18/30
Epoch 054 | NCE: 24.9044 | f_anti: 3.127 | f_omega: -2.904 | Δf: 6.031 | Score(argmax): 0.2886 | Score(sweep): 0.3024 | LR: 0.000008 | No-improve: 19/30
Epoch 055 | NCE: 23.5641 | f_anti: 3.213 | f_omega: -2.909 | Δf: 6.123 | Score(argmax): 0.2886 | Score(sweep): 0.3026 | LR: 0.000008 | No-improve: 20/30
Epoch 056 | NCE: 23.9922 | f_anti: 3.002 | f_omega: -2.946 | Δf: 5.948 | Score(argmax): 0.2882 | Score(sweep): 0.3023 | LR: 0.000008 | No-improve: 21/30
Epoch 057 | NCE: 24.6055 | f_anti: 3.187 | f_omega: -2.963 | Δf: 6.149 | Score(argmax): 0.2880 | Score(sweep): 0.3015 | LR: 0.000008 | No-improve: 22/30
Epoch 058 | NCE: 25.1565 | f_anti: 3.181 | f_omega: -2.964 | Δf: 6.145 | Score(argmax): 0.2883 | Score(sweep): 0.3023 | LR: 0.000004 | No-improve: 23/30
Epoch 059 | NCE: 28.2200 | f_anti: 3.382 | f_omega: -2.908 | Δf: 6.290 | Score(argmax): 0.2885 | Score(sweep): 0.3014 | LR: 0.000004 | No-improve: 24/30
Epoch 060 | NCE: 24.7584 | f_anti: 3.148 | f_omega: -2.968 | Δf: 6.117 | Score(argmax): 0.2880 | Score(sweep): 0.3012 | LR: 0.000004 | No-improve: 25/30
Epoch 061 | NCE: 26.6238 | f_anti: 3.204 | f_omega: -2.935 | Δf: 6.138 | Score(argmax): 0.2883 | Score(sweep): 0.3011 | LR: 0.000004 | No-improve: 26/30
Epoch 062 | NCE: 22.5766 | f_anti: 3.082 | f_omega: -2.969 | Δf: 6.051 | Score(argmax): 0.2886 | Score(sweep): 0.3011 | LR: 0.000004 | No-improve: 27/30
Epoch 063 | NCE: 25.2939 | f_anti: 3.492 | f_omega: -2.931 | Δf: 6.424 | Score(argmax): 0.2879 | Score(sweep): 0.3017 | LR: 0.000004 | No-improve: 28/30
Epoch 064 | NCE: 26.2073 | f_anti: 3.526 | f_omega: -2.914 | Δf: 6.440 | Score(argmax): 0.2879 | Score(sweep): 0.3011 | LR: 0.000002 | No-improve: 29/30

Early stopping at epoch 64.

Best sweep score: 0.3057 → saved to models/omega_adversarial.pth
Log saved to logs/adv_run4.log
